                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66117,                0.37694,                 0.9114,                0.98387,                0.98692,                 0.9941,                0.85638,                0.60422,                0.33085,                0.88844,               0.006535,               0.006535,               0.006535
                     37,                0.66975,                0.37704,                0.91654,                0.98534,                0.98847,                0.99393,                0.85351,                 0.6358,                0.33671,                 0.9013,               0.006436,               0.006436,               0.006436
                     38,                0.66957,                0.37455,                0.91563,                0.99153,                0.98824,                 0.9944,                0.86607,                0.61871,                0.32371,                0.89238,               0.006337,               0.006337,               0.006337
                     39,                0.65241,                0.36588,                0.90622,                0.99115,                0.98824,                0.99451,                0.86043,                0.61795,                0.32491,                0.89831,               0.006238,               0.006238,               0.006238
                     40,                0.64494,                0.36467,                0.91402,                0.98409,                0.98676,                0.99357,                0.85995,                0.59842,                0.32297,                0.89258,               0.006139,               0.006139,               0.006139
                     41,                0.64861,                0.36353,                0.91261,                0.98847,                0.98971,                 0.9941,                0.85692,                0.61053,                0.31292,                0.89794,                0.00604,                0.00604,                0.00604
                     42,                0.64573,                0.35653,                0.91464,                0.97824,                 0.9915,                0.99354,                 0.8591,                0.60418,                0.32369,                0.89615,               0.005941,               0.005941,               0.005941
                     43,                0.63907,                0.35909,                0.91233,                0.98142,                0.98382,                0.99314,                0.85767,                0.61154,                0.32291,                0.89439,               0.005842,               0.005842,               0.005842
                     44,                0.63623,                0.35813,                0.91058,                0.97807,                0.98367,                0.99394,                0.86797,                0.59741,                0.32257,                 0.8893,               0.005743,               0.005743,               0.005743
                     45,                0.64041,                 0.3554,                0.91482,                0.98175,                0.99118,                0.99423,                0.86773,                0.58763,                0.31147,                0.89169,               0.005644,               0.005644,               0.005644
                     46,                0.63187,                 0.3543,                0.90932,                0.98354,                0.99118,                0.99347,                0.85808,                0.61891,                0.31834,                0.89799,               0.005545,               0.005545,               0.005545
                     47,                0.63312,                  0.346,                0.90649,                0.98478,                0.98824,                0.99374,                0.86692,                0.61264,                0.30475,                0.88968,               0.005446,               0.005446,               0.005446
                     48,                 0.6228,                0.34085,                0.90243,                0.98462,                0.98971,                0.99408,                0.87098,                0.60364,                0.30126,                0.88249,               0.005347,               0.005347,               0.005347
                     49,                 0.6247,                0.34954,                0.89982,                0.98759,                0.98676,                0.99442,                0.87414,                0.59663,                0.30673,                0.89089,               0.005248,               0.005248,               0.005248
                     50,                0.62766,                0.34633,                 0.9042,                 0.9828,                0.99118,                0.99302,                 0.8631,                0.60309,                0.30865,                0.89015,               0.005149,               0.005149,               0.005149
                     51,                0.61955,                0.33678,                0.90171,                0.99115,                0.98812,                0.99466,                0.86669,                0.60264,                 0.2996,                0.89315,                0.00505,                0.00505,                0.00505
                     52,                0.62032,                0.34454,                0.90089,                0.98379,                0.98529,                0.99341,                0.86508,                0.59715,                 0.3062,                0.88798,               0.004951,               0.004951,               0.004951
                     53,                0.61644,                0.33653,                0.89921,                0.99107,                0.99118,                0.99417,                0.87671,                0.58445,                0.29187,                0.88572,               0.004852,               0.004852,               0.004852
                     54,                0.61268,                0.33349,                0.90037,                0.97818,                0.98971,                0.99345,                0.87403,                0.59666,                 0.2968,                 0.8792,               0.004753,               0.004753,               0.004753
                     55,                0.60228,                 0.3278,                 0.8993,                0.98394,                0.99104,                0.99452,                0.87418,                0.59129,                0.28781,                0.89323,               0.004654,               0.004654,               0.004654
                     56,                0.60257,                0.32734,                0.89249,                0.98529,                 0.9853,                0.99409,                0.87768,                0.58419,                0.29522,                0.88327,               0.004555,               0.004555,               0.004555
                     57,                 0.5946,                0.32434,                0.88869,                0.98352,                0.99118,                0.99362,                0.87067,                0.58834,                0.29841,                0.88765,               0.004456,               0.004456,               0.004456
                     58,                 0.6009,                0.32469,                 0.8921,                0.98852,                0.99118,                0.99405,                0.87506,                0.59222,                0.29515,                0.88653,               0.004357,               0.004357,               0.004357
                     59,                0.60826,                 0.3257,                0.89413,                0.98253,                0.99241,                0.99273,                0.86784,                0.61345,                0.30277,                0.89195,               0.004258,               0.004258,               0.004258
                     60,                0.60038,                 0.3233,                 0.8998,                0.98674,                0.98475,                0.99376,                0.87974,                0.58488,                0.28485,                0.88239,               0.004159,               0.004159,               0.004159
                     61,                0.59905,                0.32755,                0.89472,                0.98586,                0.98824,                 0.9944,                0.87404,                0.59267,                  0.292,                0.88957,                0.00406,                0.00406,                0.00406
                     62,                0.59522,                0.31641,                0.89401,                0.98721,                0.99118,                0.99417,                0.87895,                0.58196,                0.28508,                0.88069,               0.003961,               0.003961,               0.003961
                     63,                0.57841,                0.31111,                0.88839,                 0.9843,                0.99265,                0.99439,                0.87684,                 0.5904,                0.28155,                  0.883,               0.003862,               0.003862,               0.003862
                     64,                 0.5829,                0.31079,                0.88601,                0.98393,                0.99024,                0.99316,                0.87312,                0.58167,                0.29055,                0.88037,               0.003763,               0.003763,               0.003763
                     65,                0.58483,                 0.3123,                0.88931,                0.98468,                0.98676,                0.99408,                0.87505,                 0.5967,                0.29013,                0.88748,               0.003664,               0.003664,               0.003664
                     66,                0.58414,                0.31286,                 0.8886,                 0.9825,                0.99061,                0.99319,                0.87466,                0.59886,                0.28989,                0.88292,               0.003565,               0.003565,               0.003565
                     67,                0.57315,                0.30469,                0.88695,                0.98813,                0.99118,                0.99459,                0.86493,                0.61773,                0.28555,                0.88314,               0.003466,               0.003466,               0.003466
                     68,                0.56683,                0.30488,                0.88109,                0.98454,                0.98971,                0.99355,                0.87534,                0.58497,                0.27994,                0.87851,               0.003367,               0.003367,               0.003367
                     69,                0.57131,                 0.2993,                0.88547,                0.98774,                0.99118,                0.99461,                0.86925,                0.59667,                0.27844,                0.88459,               0.003268,               0.003268,               0.003268
                     70,                0.56517,                0.29743,                0.88476,                0.98449,                0.99118,                0.99334,                0.88426,                0.57626,                0.27399,                0.87542,               0.003169,               0.003169,               0.003169
                     71,                0.56432,                0.29747,                0.87943,                 0.9878,                0.99265,                0.99396,                0.88207,                0.57855,                 0.2681,                0.87927,                0.00307,                0.00307,                0.00307
                     72,                0.55802,                0.29336,                0.87831,                 0.9826,                0.99641,                0.99441,                0.88436,                0.57521,                0.26355,                0.87362,               0.002971,               0.002971,               0.002971
                     73,                0.55202,                0.29462,                0.87645,                0.98534,                0.99118,                0.99446,                0.87999,                0.58363,                0.27503,                0.87659,               0.002872,               0.002872,               0.002872
                     74,                0.55031,                 0.2929,                0.87126,                0.98567,                0.99118,                0.99419,                0.87305,                0.59476,                0.27889,                0.88159,               0.002773,               0.002773,               0.002773
                     75,                0.55345,                0.29009,                0.87684,                0.98994,                0.99118,                0.99403,                0.88048,                0.58376,                0.27303,                0.88348,               0.002674,               0.002674,               0.002674
                     76,                0.54183,                0.29222,                0.87178,                0.98656,                0.99118,                0.99421,                0.87765,                0.59019,                0.27695,                0.88506,               0.002575,               0.002575,               0.002575
                     77,                0.53907,                0.28705,                0.87125,                0.99116,                0.98886,                0.99396,                0.88321,                0.58226,                0.26953,                0.87963,               0.002476,               0.002476,               0.002476
                     78,                 0.5386,                0.28305,                 0.8743,                0.98431,                0.99412,                0.99417,                0.88463,                0.57912,                0.26713,                0.87718,               0.002377,               0.002377,               0.002377
                     79,                0.53489,                0.28401,                0.87308,                0.98579,                0.99265,                0.99407,                0.88109,                0.58779,                0.27307,                0.88679,               0.002278,               0.002278,               0.002278
                     80,                0.54017,                0.28848,                0.87203,                0.98781,                0.99265,                0.99302,                 0.8765,                0.58474,                0.26874,                0.88177,               0.002179,               0.002179,               0.002179
                     81,                0.53322,                0.27966,                0.86891,                0.98828,                0.99234,                0.99456,                0.88206,                0.58265,                0.26008,                0.87965,                0.00208,                0.00208,                0.00208
                     82,                0.53664,                0.28344,                0.86955,                0.98671,                0.99265,                0.99437,                   0.88,                0.58282,                0.26087,                0.87743,               0.001981,               0.001981,               0.001981
                     83,                0.52935,                0.27648,                0.86948,                0.98594,                0.99265,                0.99449,                0.87973,                0.58339,                0.26146,                0.87916,               0.001882,               0.001882,               0.001882
                     84,                0.52245,                0.27618,                0.87032,                0.98686,                0.99366,                0.99459,                0.88164,                0.58371,                0.25947,                0.87715,               0.001783,               0.001783,               0.001783
                     85,                0.50982,                0.26797,                0.86877,                 0.9866,                0.99265,                0.99464,                0.88413,                0.57988,                0.25979,                0.88362,               0.001684,               0.001684,               0.001684
                     86,                0.52098,                0.27013,                0.86654,                0.98538,                 0.9912,                0.99392,                0.88197,                0.58294,                 0.2583,                0.88213,               0.001585,               0.001585,               0.001585
                     87,                0.51009,                0.26488,                0.86441,                0.99055,                0.99118,                0.99452,                0.88012,                 0.5879,                 0.2599,                0.87847,               0.001486,               0.001486,               0.001486
                     88,                 0.5003,                0.26284,                0.86241,                0.98567,                0.98971,                0.99432,                0.87998,                0.58569,                0.25956,                0.87943,               0.001387,               0.001387,               0.001387
                     89,                0.51495,                0.26697,                0.86311,                0.98769,                0.99265,                0.99431,                0.88032,                0.58458,                0.25808,                 0.8796,               0.001288,               0.001288,               0.001288
                     90,                 0.4835,                 0.2364,                0.83982,                0.98837,                0.98971,                0.99449,                0.88389,                0.58175,                0.26471,                0.88365,               0.001189,               0.001189,               0.001189
                     91,                0.46896,                0.23003,                 0.8443,                0.98963,                0.99118,                0.99461,                 0.8818,                0.58463,                0.26153,                0.88609,                0.00109,                0.00109,                0.00109
                     92,                0.46766,                0.22925,                0.83993,                 0.9849,                0.99118,                0.99425,                0.88199,                0.58661,                0.26087,                0.88856,               0.000991,               0.000991,               0.000991
                     93,                0.46177,                 0.2267,                0.83898,                0.98539,                0.99171,                0.99444,                0.88015,                 0.5863,                0.25971,                0.88423,               0.000892,               0.000892,               0.000892
                     94,                0.45738,                0.22496,                0.83476,                0.98397,                0.99269,                0.99449,                0.88082,                0.58571,                0.25579,                0.88431,               0.000793,               0.000793,               0.000793
                     95,                0.45733,                0.22279,                0.83395,                 0.9854,                0.99264,                0.99435,                0.88069,                0.58506,                0.25861,                0.88286,               0.000694,               0.000694,               0.000694
                     96,                0.45371,                0.22021,                0.83471,                0.98664,                0.99265,                0.99458,                0.88613,                0.57882,                0.25203,                0.88095,               0.000595,               0.000595,               0.000595
                     97,                0.44973,                0.21665,                0.83095,                0.98653,                0.99412,                0.99451,                0.88076,                0.58329,                0.25457,                0.88243,               0.000496,               0.000496,               0.000496
                     98,                0.44371,                 0.2152,                0.83191,                0.98398,                0.99384,                0.99451,                0.88333,                0.58383,                0.25418,                0.88184,               0.000397,               0.000397,               0.000397
                     99,                0.44039,                0.21301,                0.83028,                0.98324,                0.99559,                0.99452,                0.88168,                0.58318,                0.25133,                0.88113,               0.000298,               0.000298,               0.000298
